content_id_suffix	scene_idx	selection	keyframes_checked	note
00411	0	systematic	no	Qwen 적 10개와 공격 10회 나열. Gemini MOBA/hero build/설정 UI 및 jungle monster.
00421	0	systematic	no	Description puzzle game, Qwen character movement, Gemini battle royale. 장르 정답 유보.
00431	0	systematic	no	Qwen receiving award 대비 Gemini speech/microphone/award envelope. 실제 수상 동작은 미확정.
00441	0	systematic	no	Qwen 숫자를 health로 저장하고 shield를 공격 도구로 사용. Gemini 역할·방향 구분; 세부 정답 유보.
00451	0	systematic	no	Qwen raw이고 character interaction 중심. Gemini motion comic/fantasy. 성별·방향 정답 유보.
00461	0	systematic	no	Qwen animation/emergency evacuation 대비 Gemini roleplay gameplay/story simulation.
00471	0	systematic	yes	여성이 촛불을 들고 뒤의 남성이 입을 가리는 프레임 확인. Gemini 역할·방향이 더 명료. Qwen black hair/red eyes 반복은 근거 없음.
00481	0	systematic	no	Qwen table/tea set/guitar 조합 대비 Gemini flying/emoting. 프레임 미확인으로 환각 확정하지 않음.
00491	0	systematic	no	Qwen raw 다수 인물 연결 대비 Gemini sniper/rifle/aiming의 도구 구분.
00008	1	regression	yes	Qwen과 Gemini 모두 sea urchin을 절단 대상으로 보존. 실제 도구는 가위로 보이며 Description과 Qwen은 knife. 여성이 젓가락으로 계란을 젓는 장면을 Qwen은 남성/웍 도구로 합침.
00012	0	targeted	yes	귀 모형과 면봉 확인. Gemini dummy head microphone 해석은 전체 장면과 잘 부합. Qwen도 귀 청소 핵심 행동 보존.
00012	2	targeted	yes	귀 모형·귀이개·크림 통 장면을 Qwen은 cooking/pan/stirring으로 오인. Summary에도 cooking segment가 전달됨.
00032	1	regression	yes	가방에 태블릿과 공책을 넣는 핵심 활동을 양쪽 Graph 모두 보존. backpack을 tool로 쓰는 것은 현재 스키마의 destination 표현 한계도 반영.
00048	0	regression	yes	Qwen 한 캐릭터를 여러 개로 늘리지 않지만 판타지 시각효과 맥락 누락. 마지막 실루엣 동일성은 확정하지 않아 Gemini의 별도 figure가 오류라고 단정하지 않음.
00054	2	regression	yes	실제 아이템 강화 UI. Qwen null actor/upgrading은 적절하나 character portrait topic은 불일치. Description의 character enhancement도 정확하지 않음.
00084	2	regression	yes	UI로 외형 편집. Qwen은 avatar가 head를 selecting한다고 연결. Gemini는 actor null로 편집 표현. 마지막 남성형 아바타와 이전 아바타 동일성은 유보.
00096	0	regression	yes	화장 비교와 설명 및 머리핀 조정. 양쪽 Graph와 Summary 모두 자연스러운 옅은 화장/대상 얼굴 특징이라는 차별점을 충분히 보존하지 않음.
00098	0	regression	yes	같은 투명 컵에 주스와 차를 붓는 장면. 두 Graph 모두 컵 중복 없음. Qwen은 raw이며 재료-동작 연결이 불분명하고 Gemini는 각각 연결.
